key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.050491701299439216,0.0006045999471098185,163.77429549978115,163.77429549978115,164.07411069981754,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.05052077502641066,0.0008362999651581049,166.2069589998573,166.2069589998573,166.50654889992438,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.05054986549438267,0.0003831000067293644,168.9057562998496,168.9057562998496,169.20568389981054,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.05054986549438267,0.0006081999745219946,171.3885845998302,171.3885845998302,171.6881102998741,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.05057897271299492,0.000682799844071269,173.92058849986643,173.92058849986643,174.22049989993684,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.05060809669189262,0.000337099889293313,176.56992529984564,176.56992529984564,176.8696698998101,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05060809669189262,0.0006856999825686216,179.13572659995407,179.13572659995407,179.4355604997836,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05063723744072654,0.0006891000084578991,181.56828029989265,181.56828029989265,181.8683115998283,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05063723744072654,0.0006742998957633972,184.11735119996592,184.11735119996592,184.41722459997982,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05063723744072654,0.000695900060236454,186.74979179981165,186.74979179981165,187.04930919990875,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050666394969153025,0.0005246000364422798,189.46563189988956,189.46563189988956,189.76540939998813,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050695569286833955,0.0006766000296920538,191.94810269982554,191.94810269982554,192.2478558998555,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.050695569286833955,0.0005735999438911676,194.36384799983352,194.36384799983352,194.6636525997892,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.050724760403436785,0.0006579000037163496,196.92992879985832,196.92992879985832,197.22956879995763,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.050724760403436785,0.00031759985722601414,199.67889639991336,199.67889639991336,199.97863599983975,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.05075396832863454,0.0006579000037163496,202.22783779981546,202.22783779981546,202.52780959988013,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.05075396832863454,0.0007207000162452459,204.76040769997053,204.76040769997053,205.05995349981822,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.05075396832863454,0.00042090006172657013,207.44291169987991,207.44291169987991,207.74255859991536,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.05078319307210581,0.0007064000237733126,210.07522939983755,210.07522939983755,210.3750555999577,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.05081243464353476,0.00058710016310215,212.49126709997654,212.49126709997654,212.79079629993066,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.05081243464353476,0.0006194000598043203,215.04011769988574,215.04011769988574,215.3397978998255,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.05084169305261112,0.0006048998329788446,217.7393988999538,217.7393988999538,218.03920459980145,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,0.005,db,0.05084169305261112,0.00031589996069669724,220.1719103998039,220.1719103998039,220.471650299849,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.05084169305261112,0.0005611998494714499,222.70445209997706,222.70445209997706,223.0042031998746,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,up,0.005,db,0.050870968309030214,0.0005743999499827623,225.18673839978874,225.18673839978874,225.48677249997854,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.050900260422492946,0.000439800089225173,227.85260449978523,227.85260449978523,228.15243339980952,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.005,db,0.05092956940270581,0.0007036998867988586,230.26855159993283,230.26855159993283,230.568339999998,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,0.005,db,0.05092956940270581,0.000723700039088726,232.85098929982632,232.85098929982632,233.15087939985096,1,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.05092956940270581,0.0007054999005049467,235.48353529977612,235.48353529977612,235.783204899868,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.05095889525938087,0.0006188000552356243,238.0327996998094,238.0327996998094,238.3322158998344,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.0509882380022358,0.0006401999853551388,240.4983016999904,240.4983016999904,240.7982086997945,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,up,0.005,db,0.051017597640993874,0.00048010004684329033,243.01422789995559,243.01422789995559,243.31389959994704,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,up,0.005,db,0.051046974185383946,0.0003931000828742981,245.4632067999337,245.4632067999337,245.7629765998572,0,566357,001,2022-09-08_14h48.09.697,CONDITIONS TRIAL,2022.2.4,59.911163747409866,
