2.0018 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
120.0929 	EXP 	fixation: autoDraw = False
120.0929 	EXP 	grating: autoDraw = True
120.0929 	EXP 	grating: tex = 'sin'
120.4079 	EXP 	grating: autoDraw = False
120.6112 	DATA 	Keypress: right
120.6281 	EXP 	window1: recordFrameIntervals = False
120.6426 	EXP 	fixation: autoDraw = False
120.6426 	EXP 	grating: autoDraw = False
120.6428 	EXP 	window1: recordFrameIntervals = False
121.6408 	EXP 	fixation: autoDraw = True
122.6409 	EXP 	fixation: autoDraw = False
122.6409 	EXP 	grating: autoDraw = True
122.6409 	EXP 	grating: tex = 'sin'
122.9411 	EXP 	grating: autoDraw = False
123.1600 	EXP 	window1: recordFrameIntervals = False
123.1610 	DATA 	Keypress: right
123.1745 	EXP 	fixation: autoDraw = False
123.1745 	EXP 	grating: autoDraw = False
123.1747 	EXP 	window1: recordFrameIntervals = False
124.1742 	EXP 	fixation: autoDraw = True
125.1743 	EXP 	fixation: autoDraw = False
125.1743 	EXP 	grating: autoDraw = True
125.1743 	EXP 	grating: tex = 'sin'
125.4760 	EXP 	grating: autoDraw = False
125.6110 	EXP 	window1: recordFrameIntervals = False
125.6118 	DATA 	Keypress: right
125.6261 	EXP 	fixation: autoDraw = False
125.6261 	EXP 	grating: autoDraw = False
125.6262 	EXP 	window1: recordFrameIntervals = False
126.6242 	EXP 	fixation: autoDraw = True
127.6411 	EXP 	fixation: autoDraw = False
127.6411 	EXP 	grating: autoDraw = True
127.6411 	EXP 	grating: tex = 'sin'
127.9409 	EXP 	grating: autoDraw = False
128.0763 	EXP 	window1: recordFrameIntervals = False
128.0773 	DATA 	Keypress: right
128.0911 	EXP 	fixation: autoDraw = False
128.0911 	EXP 	grating: autoDraw = False
128.0912 	EXP 	window1: recordFrameIntervals = False
129.0909 	EXP 	fixation: autoDraw = True
130.0919 	EXP 	grating: autoDraw = True
130.0919 	EXP 	grating: tex = 'sin'
130.1087 	EXP 	fixation: autoDraw = False
130.3929 	EXP 	grating: autoDraw = False
130.4935 	EXP 	window1: recordFrameIntervals = False
130.4946 	DATA 	Keypress: right
130.5080 	EXP 	fixation: autoDraw = False
130.5080 	EXP 	grating: autoDraw = False
130.5081 	EXP 	window1: recordFrameIntervals = False
131.5077 	EXP 	fixation: autoDraw = True
132.5077 	EXP 	fixation: autoDraw = False
132.5077 	EXP 	grating: autoDraw = True
132.5077 	EXP 	grating: tex = 'sin'
132.8077 	EXP 	grating: autoDraw = False
132.9933 	EXP 	window1: recordFrameIntervals = False
132.9944 	DATA 	Keypress: right
133.0080 	EXP 	fixation: autoDraw = False
133.0080 	EXP 	grating: autoDraw = False
133.0081 	EXP 	window1: recordFrameIntervals = False
134.0076 	EXP 	fixation: autoDraw = True
135.0088 	EXP 	grating: autoDraw = True
135.0088 	EXP 	grating: tex = 'sin'
135.0255 	EXP 	fixation: autoDraw = False
135.3080 	EXP 	grating: autoDraw = False
135.7436 	EXP 	window1: recordFrameIntervals = False
135.7447 	DATA 	Keypress: left
135.7580 	EXP 	fixation: autoDraw = False
135.7580 	EXP 	grating: autoDraw = False
135.7582 	EXP 	window1: recordFrameIntervals = False
136.7576 	EXP 	fixation: autoDraw = True
137.7577 	EXP 	fixation: autoDraw = False
137.7577 	EXP 	grating: autoDraw = True
137.7577 	EXP 	grating: tex = 'sin'
138.0578 	EXP 	grating: autoDraw = False
138.5933 	EXP 	window1: recordFrameIntervals = False
138.5944 	DATA 	Keypress: left
138.6080 	EXP 	fixation: autoDraw = False
138.6080 	EXP 	grating: autoDraw = False
138.6081 	EXP 	window1: recordFrameIntervals = False
139.6085 	EXP 	fixation: autoDraw = True
140.6078 	EXP 	fixation: autoDraw = False
140.6078 	EXP 	grating: autoDraw = True
140.6078 	EXP 	grating: tex = 'sin'
140.9080 	EXP 	grating: autoDraw = False
141.3935 	EXP 	window1: recordFrameIntervals = False
141.3947 	DATA 	Keypress: left
141.4081 	EXP 	fixation: autoDraw = False
141.4081 	EXP 	grating: autoDraw = False
141.4082 	EXP 	window1: recordFrameIntervals = False
142.4077 	EXP 	fixation: autoDraw = True
143.4079 	EXP 	fixation: autoDraw = False
143.4079 	EXP 	grating: autoDraw = True
143.4079 	EXP 	grating: tex = 'sin'
143.7078 	EXP 	grating: autoDraw = False
143.8935 	EXP 	window1: recordFrameIntervals = False
143.8946 	DATA 	Keypress: right
143.9080 	EXP 	fixation: autoDraw = False
143.9080 	EXP 	grating: autoDraw = False
143.9082 	EXP 	window1: recordFrameIntervals = False
144.9078 	EXP 	fixation: autoDraw = True
145.9078 	EXP 	fixation: autoDraw = False
145.9078 	EXP 	grating: autoDraw = True
145.9078 	EXP 	grating: tex = 'sin'
146.2080 	EXP 	grating: autoDraw = False
146.4092 	EXP 	window1: recordFrameIntervals = False
146.4098 	DATA 	Keypress: right
146.4246 	EXP 	fixation: autoDraw = False
146.4246 	EXP 	grating: autoDraw = False
146.4247 	EXP 	window1: recordFrameIntervals = False
147.4246 	EXP 	fixation: autoDraw = True
148.4245 	EXP 	grating: autoDraw = True
148.4245 	EXP 	grating: tex = 'sin'
148.4412 	EXP 	fixation: autoDraw = False
148.7247 	EXP 	grating: autoDraw = False
149.0940 	EXP 	window1: recordFrameIntervals = False
149.0952 	DATA 	Keypress: left
149.1085 	EXP 	fixation: autoDraw = False
149.1085 	EXP 	grating: autoDraw = False
149.1087 	EXP 	window1: recordFrameIntervals = False
150.1078 	EXP 	fixation: autoDraw = True
151.1079 	EXP 	fixation: autoDraw = False
151.1079 	EXP 	grating: autoDraw = True
151.1079 	EXP 	grating: tex = 'sin'
151.4082 	EXP 	grating: autoDraw = False
154.7106 	EXP 	window1: recordFrameIntervals = False
154.7118 	DATA 	Keypress: right
154.7250 	EXP 	fixation: autoDraw = False
154.7250 	EXP 	grating: autoDraw = False
154.7252 	EXP 	window1: recordFrameIntervals = False
155.7246 	EXP 	fixation: autoDraw = True
156.7247 	EXP 	fixation: autoDraw = False
156.7247 	EXP 	grating: autoDraw = True
156.7247 	EXP 	grating: tex = 'sin'
157.0248 	EXP 	grating: autoDraw = False
157.2106 	EXP 	window1: recordFrameIntervals = False
157.2118 	DATA 	Keypress: right
157.2250 	EXP 	fixation: autoDraw = False
157.2250 	EXP 	grating: autoDraw = False
157.2252 	EXP 	window1: recordFrameIntervals = False
158.2247 	EXP 	fixation: autoDraw = True
159.2266 	EXP 	grating: autoDraw = True
159.2266 	EXP 	grating: tex = 'sin'
159.2434 	EXP 	fixation: autoDraw = False
159.5416 	EXP 	grating: autoDraw = False
159.9108 	EXP 	window1: recordFrameIntervals = False
159.9120 	DATA 	Keypress: left
159.9250 	EXP 	fixation: autoDraw = False
159.9250 	EXP 	grating: autoDraw = False
159.9252 	EXP 	window1: recordFrameIntervals = False
160.9247 	EXP 	fixation: autoDraw = True
161.9249 	EXP 	fixation: autoDraw = False
161.9249 	EXP 	grating: autoDraw = True
161.9249 	EXP 	grating: tex = 'sin'
162.2250 	EXP 	grating: autoDraw = False
162.6439 	EXP 	window1: recordFrameIntervals = False
162.6450 	DATA 	Keypress: left
162.6583 	EXP 	fixation: autoDraw = False
162.6583 	EXP 	grating: autoDraw = False
162.6585 	EXP 	window1: recordFrameIntervals = False
163.6590 	EXP 	fixation: autoDraw = True
164.6750 	EXP 	fixation: autoDraw = False
164.6750 	EXP 	grating: autoDraw = True
164.6750 	EXP 	grating: tex = 'sin'
164.9750 	EXP 	grating: autoDraw = False
165.2606 	EXP 	window1: recordFrameIntervals = False
165.2618 	DATA 	Keypress: right
165.2751 	EXP 	fixation: autoDraw = False
165.2751 	EXP 	grating: autoDraw = False
165.2752 	EXP 	window1: recordFrameIntervals = False
166.2747 	EXP 	fixation: autoDraw = True
167.2748 	EXP 	fixation: autoDraw = False
167.2748 	EXP 	grating: autoDraw = True
167.2748 	EXP 	grating: tex = 'sin'
167.5750 	EXP 	grating: autoDraw = False
175.5607 	EXP 	window1: recordFrameIntervals = False
175.5618 	DATA 	Keypress: right
175.5752 	EXP 	fixation: autoDraw = False
175.5752 	EXP 	grating: autoDraw = False
175.5754 	EXP 	window1: recordFrameIntervals = False
176.5749 	EXP 	fixation: autoDraw = True
177.5750 	EXP 	fixation: autoDraw = False
177.5750 	EXP 	grating: autoDraw = True
177.5750 	EXP 	grating: tex = 'sin'
177.8753 	EXP 	grating: autoDraw = False
178.0448 	EXP 	window1: recordFrameIntervals = False
178.0459 	DATA 	Keypress: left
178.0594 	EXP 	fixation: autoDraw = False
178.0594 	EXP 	grating: autoDraw = False
178.0596 	EXP 	window1: recordFrameIntervals = False
179.0583 	EXP 	fixation: autoDraw = True
180.0612 	EXP 	fixation: autoDraw = False
180.0612 	EXP 	grating: autoDraw = True
180.0612 	EXP 	grating: tex = 'sin'
180.3752 	EXP 	grating: autoDraw = False
180.5096 	EXP 	window1: recordFrameIntervals = False
180.5102 	DATA 	Keypress: right
180.5250 	EXP 	fixation: autoDraw = False
180.5250 	EXP 	grating: autoDraw = False
180.5251 	EXP 	window1: recordFrameIntervals = False
181.5250 	EXP 	fixation: autoDraw = True
182.5251 	EXP 	grating: autoDraw = True
182.5251 	EXP 	grating: tex = 'sin'
182.5418 	EXP 	fixation: autoDraw = False
182.8259 	EXP 	grating: autoDraw = False
183.3933 	EXP 	window1: recordFrameIntervals = False
183.3940 	DATA 	Keypress: left
183.4086 	EXP 	fixation: autoDraw = False
183.4086 	EXP 	grating: autoDraw = False
183.4087 	EXP 	window1: recordFrameIntervals = False
184.4251 	EXP 	fixation: autoDraw = True
185.4085 	EXP 	grating: autoDraw = True
185.4085 	EXP 	grating: tex = 'sin'
185.4252 	EXP 	fixation: autoDraw = False
185.7084 	EXP 	grating: autoDraw = False
185.7932 	EXP 	window1: recordFrameIntervals = False
185.7938 	DATA 	Keypress: right
185.8086 	EXP 	fixation: autoDraw = False
185.8086 	EXP 	grating: autoDraw = False
185.8088 	EXP 	window1: recordFrameIntervals = False
186.8084 	EXP 	fixation: autoDraw = True
187.8096 	EXP 	grating: autoDraw = True
187.8096 	EXP 	grating: tex = 'sin'
187.8264 	EXP 	fixation: autoDraw = False
188.1086 	EXP 	grating: autoDraw = False
202.8117 	EXP 	window1: recordFrameIntervals = False
202.8129 	DATA 	Keypress: right
202.8258 	EXP 	fixation: autoDraw = False
202.8258 	EXP 	grating: autoDraw = False
202.8259 	EXP 	window1: recordFrameIntervals = False
203.8253 	EXP 	fixation: autoDraw = True
204.8254 	EXP 	fixation: autoDraw = False
204.8254 	EXP 	grating: autoDraw = True
204.8254 	EXP 	grating: tex = 'sin'
205.1253 	EXP 	grating: autoDraw = False
205.5611 	EXP 	window1: recordFrameIntervals = False
205.5622 	DATA 	Keypress: left
205.5757 	EXP 	fixation: autoDraw = False
205.5757 	EXP 	grating: autoDraw = False
205.5758 	EXP 	window1: recordFrameIntervals = False
206.5754 	EXP 	fixation: autoDraw = True
207.5755 	EXP 	fixation: autoDraw = False
207.5755 	EXP 	grating: autoDraw = True
207.5755 	EXP 	grating: tex = 'sin'
207.8754 	EXP 	grating: autoDraw = False
208.1934 	EXP 	window1: recordFrameIntervals = False
208.1941 	DATA 	Keypress: left
208.2091 	EXP 	fixation: autoDraw = False
208.2091 	EXP 	grating: autoDraw = False
208.2093 	EXP 	window1: recordFrameIntervals = False
209.2088 	EXP 	fixation: autoDraw = True
210.1954 	EXP 	grating: autoDraw = True
210.1954 	EXP 	grating: tex = 'sin'
210.2090 	EXP 	fixation: autoDraw = False
210.5089 	EXP 	grating: autoDraw = False
210.7781 	EXP 	window1: recordFrameIntervals = False
210.7792 	DATA 	Keypress: left
210.7927 	EXP 	fixation: autoDraw = False
210.7927 	EXP 	grating: autoDraw = False
210.7928 	EXP 	window1: recordFrameIntervals = False
211.7933 	EXP 	fixation: autoDraw = True
212.8093 	EXP 	fixation: autoDraw = False
212.8093 	EXP 	grating: autoDraw = True
212.8093 	EXP 	grating: tex = 'sin'
213.1092 	EXP 	grating: autoDraw = False
213.1938 	EXP 	window1: recordFrameIntervals = False
213.1944 	DATA 	Keypress: right
213.2090 	EXP 	fixation: autoDraw = False
213.2090 	EXP 	grating: autoDraw = False
213.2091 	EXP 	window1: recordFrameIntervals = False
214.2090 	EXP 	fixation: autoDraw = True
215.1944 	EXP 	grating: autoDraw = True
215.1944 	EXP 	grating: tex = 'sin'
215.2090 	EXP 	fixation: autoDraw = False
215.5092 	EXP 	grating: autoDraw = False
215.6447 	EXP 	window1: recordFrameIntervals = False
215.6457 	DATA 	Keypress: right
215.6594 	EXP 	fixation: autoDraw = False
215.6594 	EXP 	grating: autoDraw = False
215.6596 	EXP 	window1: recordFrameIntervals = False
216.6605 	EXP 	fixation: autoDraw = True
217.6609 	EXP 	grating: autoDraw = True
217.6609 	EXP 	grating: tex = 'sin'
217.6757 	EXP 	fixation: autoDraw = False
217.9761 	EXP 	grating: autoDraw = False
218.0607 	EXP 	window1: recordFrameIntervals = False
218.0615 	DATA 	Keypress: right
218.0759 	EXP 	fixation: autoDraw = False
218.0759 	EXP 	grating: autoDraw = False
218.0761 	EXP 	window1: recordFrameIntervals = False
219.0757 	EXP 	fixation: autoDraw = True
220.0758 	EXP 	fixation: autoDraw = False
220.0758 	EXP 	grating: autoDraw = True
220.0758 	EXP 	grating: tex = 'sin'
220.3757 	EXP 	grating: autoDraw = False
220.7440 	EXP 	window1: recordFrameIntervals = False
220.7447 	DATA 	Keypress: left
220.7594 	EXP 	fixation: autoDraw = False
220.7594 	EXP 	grating: autoDraw = False
220.7596 	EXP 	window1: recordFrameIntervals = False
221.7593 	EXP 	fixation: autoDraw = True
222.7444 	EXP 	grating: autoDraw = True
222.7444 	EXP 	grating: tex = 'sin'
222.7592 	EXP 	fixation: autoDraw = False
