2.4971 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
105.7605 	EXP 	grating: tex = 'sin'
106.0604 	EXP 	grating: autoDraw = False
106.5129 	EXP 	window1: recordFrameIntervals = False
106.5141 	DATA 	Keypress: left
106.5267 	EXP 	fixation: autoDraw = False
106.5267 	EXP 	grating: autoDraw = False
106.5269 	EXP 	window1: recordFrameIntervals = False
107.5059 	EXP 	fixation: autoDraw = True
108.5097 	EXP 	fixation: autoDraw = False
108.5097 	EXP 	grating: autoDraw = True
108.5097 	EXP 	grating: tex = 'sin'
108.8095 	EXP 	grating: autoDraw = False
109.1274 	EXP 	window1: recordFrameIntervals = False
109.1283 	DATA 	Keypress: right
109.1423 	EXP 	fixation: autoDraw = False
109.1423 	EXP 	grating: autoDraw = False
109.1425 	EXP 	window1: recordFrameIntervals = False
110.1211 	EXP 	fixation: autoDraw = True
111.1253 	EXP 	fixation: autoDraw = False
111.1253 	EXP 	grating: autoDraw = True
111.1253 	EXP 	grating: tex = 'sin'
111.4251 	EXP 	grating: autoDraw = False
111.8776 	EXP 	window1: recordFrameIntervals = False
111.8786 	DATA 	Keypress: right
111.8916 	EXP 	fixation: autoDraw = False
111.8916 	EXP 	grating: autoDraw = False
111.8917 	EXP 	window1: recordFrameIntervals = False
112.8713 	EXP 	fixation: autoDraw = True
113.8745 	EXP 	fixation: autoDraw = False
113.8745 	EXP 	grating: autoDraw = True
113.8745 	EXP 	grating: tex = 'sin'
114.1743 	EXP 	grating: autoDraw = False
114.3264 	EXP 	window1: recordFrameIntervals = False
114.3275 	DATA 	Keypress: left
114.3407 	EXP 	fixation: autoDraw = False
114.3407 	EXP 	grating: autoDraw = False
114.3408 	EXP 	window1: recordFrameIntervals = False
115.3194 	EXP 	fixation: autoDraw = True
116.3235 	EXP 	fixation: autoDraw = False
116.3235 	EXP 	grating: autoDraw = True
116.3235 	EXP 	grating: tex = 'sin'
116.6232 	EXP 	grating: autoDraw = False
116.9597 	EXP 	window1: recordFrameIntervals = False
116.9609 	DATA 	Keypress: right
116.9734 	EXP 	fixation: autoDraw = False
116.9734 	EXP 	grating: autoDraw = False
116.9736 	EXP 	window1: recordFrameIntervals = False
117.9533 	EXP 	fixation: autoDraw = True
118.9561 	EXP 	fixation: autoDraw = False
118.9561 	EXP 	grating: autoDraw = True
118.9561 	EXP 	grating: tex = 'sin'
119.2559 	EXP 	grating: autoDraw = False
119.5587 	EXP 	window1: recordFrameIntervals = False
119.5599 	DATA 	Keypress: right
119.5724 	EXP 	fixation: autoDraw = False
119.5724 	EXP 	grating: autoDraw = False
119.5726 	EXP 	window1: recordFrameIntervals = False
120.5526 	EXP 	fixation: autoDraw = True
121.5552 	EXP 	fixation: autoDraw = False
121.5552 	EXP 	grating: autoDraw = True
121.5552 	EXP 	grating: tex = 'sin'
121.8550 	EXP 	grating: autoDraw = False
122.0741 	EXP 	window1: recordFrameIntervals = False
122.0752 	DATA 	Keypress: left
122.0882 	EXP 	fixation: autoDraw = False
122.0882 	EXP 	grating: autoDraw = False
122.0884 	EXP 	window1: recordFrameIntervals = False
123.0690 	EXP 	fixation: autoDraw = True
124.0711 	EXP 	fixation: autoDraw = False
124.0711 	EXP 	grating: autoDraw = True
124.0711 	EXP 	grating: tex = 'sin'
124.3708 	EXP 	grating: autoDraw = False
124.6063 	EXP 	window1: recordFrameIntervals = False
124.6074 	DATA 	Keypress: right
124.6205 	EXP 	fixation: autoDraw = False
124.6205 	EXP 	grating: autoDraw = False
124.6207 	EXP 	window1: recordFrameIntervals = False
125.5997 	EXP 	fixation: autoDraw = True
126.6036 	EXP 	fixation: autoDraw = False
126.6036 	EXP 	grating: autoDraw = True
126.6036 	EXP 	grating: tex = 'sin'
126.9031 	EXP 	grating: autoDraw = False
127.2727 	EXP 	window1: recordFrameIntervals = False
127.2736 	DATA 	Keypress: left
127.2864 	EXP 	fixation: autoDraw = False
